,score
668,844
669,851
670,849
671,845
672,843
673,843
674,845
675,841
676,836
677,836
678,841
679,836
680,834
681,834
682,832
683,829
684,832
685,833
686,834
687,831
688,823
689,827
690,823
691,827
692,826
693,825
694,817
695,820
696,817
697,818
698,819
699,819
700,820
701,810
702,813
703,806
704,806
705,806
706,804
707,809
708,803
709,805
710,801
711,793
712,801
713,799
714,791
715,800
716,791
717,793
718,789
719,790
720,793
721,788
722,784
723,786
724,788
725,783
726,790
727,784
728,785
729,776
730,779
731,784
732,778
733,774
734,775
735,775
736,774
737,775
738,776
739,777
740,770
741,775
742,769
743,766
744,767
745,767
746,762
747,765
748,762
749,762
750,768
751,761
752,763
753,762
754,763
755,761
756,763
757,760
758,757
759,758
760,761
761,749
762,752
763,752
764,756
765,753
766,746
767,749
768,750
769,753
770,752
771,743
772,746
773,743
774,743
775,747
776,749
777,741
778,738
779,742
780,743
781,734
782,737
783,731
784,733
785,740
786,733
787,733
788,736
789,730
790,735
791,734
792,735
793,727
794,732
795,730
796,728
797,729
798,725
799,723
800,720
801,717
802,718
803,717
804,719
805,720
806,716
807,718
808,716
809,715
810,713
811,716
812,712
813,713
814,710
815,709
816,710
817,713
818,713
819,707
820,709
821,703
822,712
823,704
824,712
825,708
826,703
827,707
828,711
829,709
830,708
831,706
832,707
833,708
834,706
835,704
836,702
837,705
838,702
839,700
840,698
841,704
842,700
843,699
844,697
845,701
846,698
847,703
848,701
849,695
850,698
851,699
852,695
853,697
854,692
855,688
856,690
857,691
858,690
859,690
860,686
861,683
862,688
863,689
864,684
865,689
866,687
867,690
868,690
869,690
870,687
871,689
872,684
873,681
874,684
875,683
876,682
877,683
878,684
879,677
880,684
881,683
882,675
883,678
884,677
885,675
886,682
887,674
888,679
889,673
890,681
891,678
892,670
893,677
894,672
895,674
896,677
897,673
898,672
899,668
900,674
901,666
902,667
903,666
904,671
905,667
906,662
907,666
908,667
909,668
910,669
911,663
912,659
913,655
914,661
915,656
916,661
917,653
918,658
919,654
920,654
921,659
922,655
923,660
924,656
925,650
926,652
927,654
928,653
929,652
930,654
931,654
932,655
933,653
934,650
935,647
936,654
937,648
938,651
939,649
940,650
941,649
942,652
943,652
944,645
945,650
946,648
947,645
948,644
949,646
950,643
951,650
952,649
953,647
954,647
955,645
956,643
957,649
958,643
959,645
960,638
961,636
962,640
963,643
